"ANNEE";"SEXE";"AGE";"POP"
1991;"M";"0";399548
1991;"M";"1";395294
1991;"M";"2";401225
1991;"M";"3";399805
1991;"M";"4";407266
1991;"M";"5";403181
1991;"M";"6";397941
1991;"M";"7";392061
1991;"M";"8";419174
1991;"M";"9";423513
1991;"M";"10";424202
1991;"M";"11";401734
1991;"M";"12";392733
1991;"M";"13";396889
1991;"M";"14";386863
1991;"M";"15";400819
1991;"M";"16";429139
1991;"M";"17";457558
1991;"M";"18";468222
1991;"M";"19";466347
1991;"M";"20";453454
1991;"M";"21";445676
1991;"M";"22";436161
1991;"M";"23";434134
1991;"M";"24";442827
1991;"M";"25";445139
1991;"M";"26";450981
1991;"M";"27";448003
1991;"M";"28";435517
1991;"M";"29";441899
1991;"M";"30";442308
1991;"M";"31";443694
1991;"M";"32";434449
1991;"M";"33";436749
1991;"M";"34";435003
1991;"M";"35";434809
1991;"M";"36";436802
1991;"M";"37";431898
1991;"M";"38";442201
1991;"M";"39";436256
1991;"M";"40";457176
1991;"M";"41";452902
1991;"M";"42";455594
1991;"M";"43";449148
1991;"M";"44";427667
1991;"M";"45";327131
1991;"M";"46";321500
1991;"M";"47";315721
1991;"M";"48";296043
1991;"M";"49";266098
1991;"M";"50";280079
1991;"M";"51";294831
1991;"M";"52";292581
1991;"M";"53";290944
1991;"M";"54";295103
1991;"M";"55";291232
1991;"M";"56";298547
1991;"M";"57";291686
1991;"M";"58";301482
1991;"M";"59";296379
1991;"M";"60";299038
1991;"M";"61";282094
1991;"M";"62";278744
1991;"M";"63";268579
1991;"M";"64";265272
1991;"M";"65";258470
1991;"M";"66";246078
1991;"M";"67";242040
1991;"M";"68";236154
1991;"M";"69";237588
1991;"M";"70";236231
1991;"M";"71";138673
1991;"M";"72";116604
1991;"M";"73";98897
1991;"M";"74";88944
1991;"M";"75";105730
1991;"M";"76";146778
1991;"M";"77";140736
1991;"M";"78";132190
1991;"M";"79";113954
1991;"M";"80";108184
1991;"M";"81";95580
1991;"M";"82";85956
1991;"M";"83";72625
1991;"M";"84";63358
1991;"M";"85";53844
1991;"M";"86";44193
1991;"M";"87";36490
1991;"M";"88";30210
1991;"M";"89";23366
1991;"M";"90";16858
1991;"M";"91";12422
1991;"M";"92";8661
1991;"M";"93";6091
1991;"M";"94";4158
1991;"M";"95";2325
1991;"M";"96";1661
1991;"M";"97";1099
1991;"M";"98";622
1991;"M";"99";957
1991;"F";"0";379319
1991;"F";"1";379358
1991;"F";"2";383016
1991;"F";"3";383078
1991;"F";"4";388872
1991;"F";"5";384960
1991;"F";"6";380851
1991;"F";"7";374714
1991;"F";"8";399559
1991;"F";"9";403771
1991;"F";"10";405111
1991;"F";"11";382943
1991;"F";"12";374913
1991;"F";"13";378061
1991;"F";"14";368949
1991;"F";"15";382468
1991;"F";"16";408833
1991;"F";"17";438189
1991;"F";"18";449518
1991;"F";"19";452386
1991;"F";"20";441020
1991;"F";"21";437543
1991;"F";"22";430969
1991;"F";"23";429191
1991;"F";"24";441051
1991;"F";"25";443183
1991;"F";"26";451801
1991;"F";"27";449569
1991;"F";"28";437583
1991;"F";"29";444212
1991;"F";"30";443496
1991;"F";"31";445807
1991;"F";"32";438112
1991;"F";"33";440739
1991;"F";"34";439475
1991;"F";"35";439183
1991;"F";"36";439265
1991;"F";"37";432395
1991;"F";"38";440244
1991;"F";"39";433152
1991;"F";"40";449983
1991;"F";"41";444995
1991;"F";"42";443353
1991;"F";"43";436516
1991;"F";"44";417111
1991;"F";"45";318519
1991;"F";"46";314835
1991;"F";"47";307991
1991;"F";"48";287651
1991;"F";"49";260317
1991;"F";"50";275952
1991;"F";"51";296266
1991;"F";"52";294763
1991;"F";"53";296040
1991;"F";"54";301638
1991;"F";"55";301516
1991;"F";"56";311926
1991;"F";"57";308005
1991;"F";"58";321485
1991;"F";"59";320505
1991;"F";"60";326562
1991;"F";"61";311676
1991;"F";"62";312848
1991;"F";"63";306551
1991;"F";"64";308596
1991;"F";"65";307530
1991;"F";"66";299562
1991;"F";"67";298001
1991;"F";"68";297055
1991;"F";"69";303060
1991;"F";"70";303387
1991;"F";"71";182581
1991;"F";"72";158661
1991;"F";"73";138459
1991;"F";"74";128244
1991;"F";"75";156086
1991;"F";"76";227564
1991;"F";"77";221046
1991;"F";"78";215971
1991;"F";"79";193916
1991;"F";"80";192123
1991;"F";"81";178768
1991;"F";"82";167417
1991;"F";"83";149405
1991;"F";"84";137027
1991;"F";"85";121622
1991;"F";"86";107693
1991;"F";"87";93362
