ANNEE;SEXE;AGE;POP
1901;M;0;367744
1901;M;1;341018
1901;M;2;332981
1901;M;3;337366
1901;M;4;341176
1901;M;5;318757
1901;M;6;327960
1901;M;7;329732
1901;M;8;314436
1901;M;9;323771
1901;M;10;308974
1901;M;11;328659
1901;M;12;324004
1901;M;13;327839
1901;M;14;327863
1901;M;15;331953
1901;M;16;331865
1901;M;17;329422
1901;M;18;323847
1901;M;19;320146
1901;M;20;306569
1901;M;21;314698
1901;M;22;311340
1901;M;23;313648
1901;M;24;322020
1901;M;25;313691
1901;M;26;316235
1901;M;27;304863
1901;M;28;314710
1901;M;29;248679
1901;M;30;281038
1901;M;31;279336
1901;M;32;268387
1901;M;33;276196
1901;M;34;279617
1901;M;35;272672
1901;M;36;271362
1901;M;37;269749
1901;M;38;265806
1901;M;39;266997
1901;M;40;257225
1901;M;41;260724
1901;M;42;239558
1901;M;43;230230
1901;M;44;235936
1901;M;45;220641
1901;M;46;220485
1901;M;47;222562
1901;M;48;225855
1901;M;49;224759
1901;M;50;217397
1901;M;51;216218
1901;M;52;197049
1901;M;53;184211
1901;M;54;191992
1901;M;55;195896
1901;M;56;187263
1901;M;57;185302
1901;M;58;181227
1901;M;59;181625
1901;M;60;171593
1901;M;61;165060
1901;M;62;154563
1901;M;63;145257
1901;M;64;147477
1901;M;65;142301
1901;M;66;129206
1901;M;67;120773
1901;M;68;110415
1901;M;69;114670
1901;M;70;106426
1901;M;71;99457
1901;M;72;89423
1901;M;73;81699
1901;M;74;75421
1901;M;75;66290
1901;M;76;60123
1901;M;77;51762
1901;M;78;45526
1901;M;79;40220
1901;M;80;34846
1901;M;81;28563
1901;M;82;22253
1901;M;83;17807
1901;M;84;14725
1901;M;85;11297
1901;M;86;8620
1901;M;87;6157
1901;M;88;4147
1901;M;89;2956
1901;M;90;2138
1901;M;91;1454
1901;M;92;935
1901;M;93;578
1901;M;94;362
1901;M;95;216
1901;M;96;125
1901;M;97;70
1901;M;98;38
1901;M;99;44
1901;F;0;361630
1901;F;1;342674
1901;F;2;333810
1901;F;3;338536
1901;F;4;342485
1901;F;5;319947
1901;F;6;328862
1901;F;7;330234
1901;F;8;314785
1901;F;9;324087
1901;F;10;308769
1901;F;11;327800
1901;F;12;321961
1901;F;13;325194
1901;F;14;325117
