SEXE;AGE;ANNEE;POP
M;0;2013;405576
M;1;2013;407496
M;2;2013;418222
M;3;2013;417892
M;4;2013;421624
M;5;2013;420100
M;6;2013;428014
M;7;2013;419658
M;8;2013;417876
M;9;2013;416535
M;10;2013;420179
M;11;2013;425948
M;12;2013;435116
M;13;2013;416600
M;14;2013;413168
M;15;2013;407934
M;16;2013;411989
M;17;2013;406767
M;18;2013;394710
M;19;2013;389755
M;20;2013;404976
M;21;2013;402303
M;22;2013;403649
M;23;2013;395418
M;24;2013;394149
M;25;2013;391226
M;26;2013;393005
M;27;2013;390935
M;28;2013;386164
M;29;2013;382577
M;30;2013;408069
M;31;2013;411741
M;32;2013;420343
M;33;2013;398063
M;34;2013;392635
M;35;2013;399352
M;36;2013;390080
M;37;2013;402889
M;38;2013;428850
M;39;2013;452168
M;40;2013;465678
M;41;2013;462926
M;42;2013;454292
M;43;2013;446141
M;44;2013;441809
M;45;2013;438847
M;46;2013;449376
M;47;2013;451032
M;48;2013;454506
M;49;2013;450056
M;50;2013;434166
M;51;2013;432904
M;52;2013;431199
M;53;2013;426108
M;54;2013;416697
M;55;2013;414313
M;56;2013;409893
M;57;2013;403734
M;58;2013;405296
M;59;2013;394444
M;60;2013;400592
M;61;2013;390126
M;62;2013;405001
M;63;2013;394471
M;64;2013;394074
M;65;2013;384283
M;66;2013;362610
M;67;2013;272669
M;68;2013;263700
M;69;2013;254923
M;70;2013;235956
M;71;2013;207274
M;72;2013;213165
M;73;2013;218782
M;74;2013;212270
M;75;2013;203960
M;76;2013;199715
M;77;2013;189273
M;78;2013;185691
M;79;2013;171473
M;80;2013;169718
M;81;2013;157121
M;82;2013;146658
M;83;2013;128479
M;84;2013;116368
M;85;2013;102478
M;86;2013;90562
M;87;2013;79035
M;88;2013;66084
M;89;2013;55695
M;90;2013;46411
M;91;2013;38575
M;92;2013;30513
M;93;2013;14307
M;94;2013;9166
M;95;2013;5767
M;96;2013;3821
M;97;2013;3294
M;98;2013;3266
M;99;2013;5091
M;100;2013;0
M;101;2013;0
M;102;2013;0
M;103;2013;0
M;104;2013;0
M;105;2013;0
M;106;2013;0
M;107;2013;0
M;108;2013;0
F;0;2013;385884
F;1;2013;391358
F;2;2013;399740
F;3;2013;398646
F;4;2013;402523
F;5;2013;401275
F;6;2013;408468
F;7;2013;400739
F;8;2013;399346
F;9;2013;397300
F;10;2013;399752
F;11;2013;406961
F;12;2013;415359
F;13;2013;395277
F;14;2013;394804
F;15;2013;387389
F;16;2013;392477
F;17;2013;389789
F;18;2013;377655
F;19;2013;373111
F;20;2013;387371
F;21;2013;390889
F;22;2013;396070
F;23;2013;395152
F;24;2013;398394
F;25;2013;396018
F;26;2013;403796
F;27;2013;401493
F;28;2013;402696
F;29;2013;396591
F;30;2013;422500
F;31;2013;428624
F;32;2013;434043
F;33;2013;411887
F;34;2013;404001
F;35;2013;406452
F;36;2013;398142
F;37;2013;410912
F;38;2013;433288
F;39;2013;459921
F;40;2013;470546
F;41;2013;467903
F;42;2013;459050
F;43;2013;454068
F;44;2013;453849
F;45;2013;449980
F;46;2013;461480
F;47;2013;462389
F;48;2013;470376
F;49;2013;465492
F;50;2013;450059
F;51;2013;451236
F;52;2013;448748
F;53;2013;447340
F;54;2013;437420
F;55;2013;437431
F;56;2013;434860
F;57;2013;432038
F;58;2013;431767
F;59;2013;423506
F;60;2013;431023
F;61;2013;419466
F;62;2013;434974
F;63;2013;428338
F;64;2013;424827
F;65;2013;416378
F;66;2013;396876
F;67;2013;300947
F;68;2013;295345
F;69;2013;287099
F;70;2013;266899
F;71;2013;239822
F;72;2013;251691
F;73;2013;264406
F;74;2013;261908
F;75;2013;258443
F;76;2013;259065
F;77;2013;255644
F;78;2013;258487
F;79;2013;247768
F;80;2013;252618
F;81;2013;240979
F;82;2013;236062
F;83;2013;214599
F;84;2013;202946
F;85;2013;188928
F;86;2013;176615
F;87;2013;163117
F;88;2013;144625
F;89;2013;130013
F;90;2013;114551
F;91;2013;99682
F;92;2013;84305
F;93;2013;41960
F;94;2013;29538
F;95;2013;21638
F;96;2013;15286
F;97;2013;13583
F;98;2013;15527
F;99;2013;28260
F;100;2013;0
F;101;2013;0
F;102;2013;0
F;103;2013;0
F;104;2013;0
F;105;2013;0
F;106;2013;0
F;107;2013;0
F;108;2013;0
M;0;2014;405477
M;1;2014;401056
M;2;2014;409890
M;3;2014;421418
M;4;2014;421640
M;5;2014;425270
M;6;2014;423047
M;7;2014;430721
M;8;2014;422124
M;9;2014;420309
M;10;2014;418805
M;11;2014;422186
M;12;2014;427848
M;13;2014;436862
M;14;2014;418503
M;15;2014;415976
M;16;2014;410587
M;17;2014;413377
M;18;2014;405256
M;19;2014;390392
M;20;2014;382785
M;21;2014;396652
M;22;2014;394284
M;23;2014;397366
M;24;2014;390915
M;25;2014;391367
M;26;2014;389830
M;27;2014;392934
M;28;2014;391980
M;29;2014;388101
M;30;2014;385132
M;31;2014;410855
M;32;2014;414504
M;33;2014;423101
M;34;2014;400666
M;35;2014;395057
M;36;2014;401892
M;37;2014;392373
M;38;2014;404911
M;39;2014;430213
M;40;2014;453319
M;41;2014;466360
M;42;2014;463424
M;43;2014;454362
M;44;2014;446287
M;45;2014;441522
M;46;2014;438382
M;47;2014;448812
M;48;2014;450514
M;49;2014;453761
M;50;2014;449164
M;51;2014;433173
M;52;2014;431789
M;53;2014;429971
M;54;2014;424480
M;55;2014;415052
M;56;2014;412512
M;57;2014;407790
M;58;2014;400949
M;59;2014;402022
M;60;2014;390746
M;61;2014;396433
M;62;2014;385535
M;63;2014;400038
M;64;2014;389322
M;65;2014;388569
M;66;2014;378629
M;67;2014;357056
M;68;2014;268086
M;69;2014;259049
M;70;2014;250116
M;71;2014;231239
M;72;2014;202921
M;73;2014;208049
M;74;2014;213233
M;75;2014;206343
M;76;2014;197523
M;77;2014;192820
M;78;2014;182063
M;79;2014;177732
M;80;2014;163300
M;81;2014;160542
M;82;2014;147505
M;83;2014;136537
M;84;2014;118502
M;85;2014;106106
M;86;2014;92301
M;87;2014;80396
M;88;2014;69223
M;89;2014;57048
M;90;2014;47105
M;91;2014;38423
M;92;2014;31157
M;93;2014;24120
M;94;2014;10982
M;95;2014;6770
M;96;2014;4166
M;97;2014;2679
M;98;2014;2331
M;99;2014;5453
M;100;2014;0
M;101;2014;0
M;102;2014;0
M;103;2014;0
M;104;2014;0
M;105;2014;0
M;106;2014;0
M;107;2014;0
M;108;2014;0
F;0;2014;386118
F;1;2014;381615
F;2;2014;393806
F;3;2014;402793
F;4;2014;401910
F;5;2014;405641
F;6;2014;404039
F;7;2014;411169
F;8;2014;403096
F;9;2014;401496
F;10;2014;399304
F;11;2014;401684
F;12;2014;408848
F;13;2014;417168
F;14;2014;397133
F;15;2014;397273
F;16;2014;389888
F;17;2014;393852
F;18;2014;389033
F;19;2014;374714
F;20;2014;368862
F;21;2014;382972
F;22;2014;387402
F;23;2014;393980
F;24;2014;394206
F;25;2014;398565
F;26;2014;397243
F;27;2014;405888
F;28;2014;404239
F;29;2014;405774
F;30;2014;399890
F;31;2014;425716
F;32;2014;431815
F;33;2014;436985
F;34;2014;414523
F;35;2014;406385
F;36;2014;408843
F;37;2014;400360
F;38;2014;412903
F;39;2014;434603
F;40;2014;461033
F;41;2014;471092
F;42;2014;468323
F;43;2014;459044
F;44;2014;454263
F;45;2014;453922
F;46;2014;449872
F;47;2014;461133
F;48;2014;461894
F;49;2014;469911
F;50;2014;464830
F;51;2014;449387
F;52;2014;450372
F;53;2014;447915
F;54;2014;446360
F;55;2014;436430
F;56;2014;436456
F;57;2014;434092
F;58;2014;431091
F;59;2014;430376
F;60;2014;421640
F;61;2014;428787
F;62;2014;417312
F;63;2014;432763
F;64;2014;426166
F;65;2014;422490
F;66;2014;413719
F;67;2014;394317
F;68;2014;298779
F;69;2014;292985
F;70;2014;284425
F;71;2014;264211
F;72;2014;236848
F;73;2014;248452
F;74;2014;260734
F;75;2014;257906
F;76;2014;254036
F;77;2014;254208
F;78;2014;250242
F;79;2014;252304
F;80;2014;240644
F;81;2014;244027
F;82;2014;231717
F;83;2014;225619
F;84;2014;203887
F;85;2014;191014
F;86;2014;176158
F;87;2014;162967
F;88;2014;149177
F;89;2014;130275
F;90;2014;115385
F;91;2014;100258
F;92;2014;85154
F;93;2014;70837
F;94;2014;34282
F;95;2014;23460
F;96;2014;16896
F;97;2014;11617
F;98;2014;9973
F;99;2014;30161
F;100;2014;0
F;101;2014;0
F;102;2014;0
F;103;2014;0
F;104;2014;0
F;105;2014;0
F;106;2014;0
F;107;2014;0
F;108;2014;0
M;0;2015;407610
M;1;2015;400987
M;2;2015;403446
M;3;2015;413098
M;4;2015;425172
M;5;2015;425287
M;6;2015;428232
M;7;2015;425757
M;8;2015;433181
M;9;2015;424568
M;10;2015;422569
M;11;2015;420826
M;12;2015;424089
M;13;2015;429578
M;14;2015;438774
M;15;2015;421317
M;16;2015;418636
M;17;2015;411974
M;18;2015;411888
M;19;2015;400928
M;20;2015;383455
M;21;2015;374475
M;22;2015;388650
M;23;2015;388048
M;24;2015;392886
M;25;2015;388157
M;26;2015;389987
M;27;2015;389776
M;28;2015;393980
M;29;2015;393887
M;30;2015;390604
M;31;2015;387926
M;32;2015;413619
M;33;2015;417253
M;34;2015;425703
M;35;2015;403105
M;36;2015;397667
M;37;2015;404221
M;38;2015;394412
M;39;2015;406247
M;40;2015;431440
M;41;2015;454134
M;42;2015;466934
M;43;2015;463571
M;44;2015;454542
M;45;2015;445980
M;46;2015;441142
M;47;2015;437896
M;48;2015;448298
M;49;2015;449887
M;50;2015;452977
M;51;2015;448316
M;52;2015;432219
M;53;2015;430487
M;54;2015;428526
M;55;2015;422879
M;56;2015;413376
M;57;2015;410480
M;58;2015;405092
M;59;2015;397918
M;60;2015;398520
M;61;2015;386758
M;62;2015;391910
M;63;2015;380749
M;64;2015;395015
M;65;2015;383968
M;66;2015;383048
M;67;2015;372994
M;68;2015;351339
M;69;2015;263481
M;70;2015;254315
M;71;2015;245298
M;72;2015;226409
M;73;2015;198201
M;74;2015;202990
M;75;2015;207429
M;76;2015;200256
M;77;2015;190901
M;78;2015;185890
M;79;2015;174701
M;80;2015;169713
M;81;2015;154681
M;82;2015;151171
M;83;2015;137791
M;84;2015;126608
M;85;2015;108300
M;86;2015;96046
M;87;2015;82444
M;88;2015;70732
M;89;2015;59985
M;90;2015;48735
M;91;2015;39395
M;92;2015;31646
M;93;2015;25026
M;94;2015;18851
M;95;2015;8361
M;96;2015;5083
M;97;2015;2974
M;98;2015;1865
M;99;2015;5259
