"ANNEE";"SEXE";"AGE";"POP"
"2022";"M";"0";347717
"2022";"M";"1";355292
"2022";"M";"2";366048
"2022";"M";"3";372540
"2022";"M";"4";380781
"2022";"M";"5";391552
"2022";"M";"6";402281
"2022";"M";"7";412948
"2022";"M";"8";418053
"2022";"M";"9";427444
"2022";"M";"10";428166
"2022";"M";"11";438654
"2022";"M";"12";434849
"2022";"M";"13";439349
"2022";"M";"14";434763
"2022";"M";"15";442497
"2022";"M";"16";434798
"2022";"M";"17";430218
"2022";"M";"18";421921
"2022";"M";"19";417639
"2022";"M";"20";416740
"2022";"M";"21";417723
"2022";"M";"22";388069
"2022";"M";"23";378841
"2022";"M";"24";365257
"2022";"M";"25";366750
"2022";"M";"26";362648
"2022";"M";"27";353448
"2022";"M";"28";356594
"2022";"M";"29";374198
"2022";"M";"30";383187
"2022";"M";"31";392695
"2022";"M";"32";391825
"2022";"M";"33";398072
"2022";"M";"34";398101
"2022";"M";"35";404560
"2022";"M";"36";404131
"2022";"M";"37";402672
"2022";"M";"38";397535
"2022";"M";"39";421567
"2022";"M";"40";425937
"2022";"M";"41";430141
"2022";"M";"42";406474
"2022";"M";"43";399498
"2022";"M";"44";401637
"2022";"M";"45";390613
"2022";"M";"46";404969
"2022";"M";"47";425142
"2022";"M";"48";444602
"2022";"M";"49";455920
"2022";"M";"50";454277
"2022";"M";"51";442511
"2022";"M";"52";434904
"2022";"M";"53";427088
"2022";"M";"54";425751
"2022";"M";"55";434440
"2022";"M";"56";434162
"2022";"M";"57";435689
"2022";"M";"58";427903
"2022";"M";"59";412110
"2022";"M";"60";410474
"2022";"M";"61";404034
"2022";"M";"62";399220
"2022";"M";"63";386337
"2022";"M";"64";382566
"2022";"M";"65";375233
"2022";"M";"66";367474
"2022";"M";"67";364608
"2022";"M";"68";354594
"2022";"M";"69";356219
"2022";"M";"70";344761
"2022";"M";"71";353357
"2022";"M";"72";342684
"2022";"M";"73";337789
"2022";"M";"74";326638
"2022";"M";"75";302197
"2022";"M";"76";221892
"2022";"M";"77";213287
"2022";"M";"78";202287
"2022";"M";"79";182250
"2022";"M";"80";156489
"2022";"M";"81";156241
"2022";"M";"82";155735
"2022";"M";"83";144663
"2022";"M";"84";133087
"2022";"M";"85";123493
"2022";"M";"86";108093
"2022";"M";"87";99177
"2022";"M";"88";84403
"2022";"M";"89";74815
"2022";"M";"90";61858
"2022";"M";"91";51206
"2022";"M";"92";37919
"2022";"M";"93";29674
"2022";"M";"94";22219
"2022";"M";"95";16144
"2022";"M";"96";11911
"2022";"M";"97";8033
"2022";"M";"98";5273
"2022";"M";"99";8288
"2022";"F";"0";332295
"2022";"F";"1";341586
"2022";"F";"2";352574
"2022";"F";"3";356829
"2022";"F";"4";367444
"2022";"F";"5";376376
"2022";"F";"6";385903
"2022";"F";"7";399485
"2022";"F";"8";400675
"2022";"F";"9";407410
"2022";"F";"10";412488
"2022";"F";"11";421757
"2022";"F";"12";415703
"2022";"F";"13";418172
"2022";"F";"14";414628
"2022";"F";"15";422143
"2022";"F";"16";411761
"2022";"F";"17";406471
"2022";"F";"18";400099
"2022";"F";"19";395439
"2022";"F";"20";394681
"2022";"F";"21";396061
"2022";"F";"22";372751
"2022";"F";"23";370907
"2022";"F";"24";361948
"2022";"F";"25";367878
"2022";"F";"26";367585
"2022";"F";"27";363506
"2022";"F";"28";366869
"2022";"F";"29";388035
"2022";"F";"30";397272
"2022";"F";"31";408568
"2022";"F";"32";415899
"2022";"F";"33";422221
"2022";"F";"34";424517
"2022";"F";"35";433142
"2022";"F";"36";432406
"2022";"F";"37";428604
"2022";"F";"38";422225
"2022";"F";"39";444704
"2022";"F";"40";447478
"2022";"F";"41";451698
"2022";"F";"42";425565
"2022";"F";"43";414020
"2022";"F";"44";414022
"2022";"F";"45";403819
"2022";"F";"46";414703
"2022";"F";"47";435220
"2022";"F";"48";458567
"2022";"F";"49";465792
"2022";"F";"50";463428
"2022";"F";"51";453417
"2022";"F";"52";448365
"2022";"F";"53";445090
"2022";"F";"54";442029
"2022";"F";"55";453289
"2022";"F";"56";454313
"2022";"F";"57";460259
"2022";"F";"58";454925
"2022";"F";"59";439540
"2022";"F";"60";439990
"2022";"F";"61";438663
"2022";"F";"62";435781
"2022";"F";"63";427137
