ANNEE;SEXE;AGE;POP
2013;1;0;389058
2013;1;1;390553
2013;1;2;400562
2013;1;3;400071
2013;1;4;403582
2013;1;5;401872
2013;1;6;409389
2013;1;7;401170
2013;1;8;399688
2013;1;9;397714
2013;1;10;401352
2013;1;11;407024
2013;1;12;415623
2013;1;13;398286
2013;1;14;395287
2013;1;15;390451
2013;1;16;394429
2013;1;17;389621
2013;1;18;378806
2013;1;19;374792
2013;1;20;390418
2013;1;21;388920
2013;1;22;390932
2013;1;23;383336
2013;1;24;382767
2013;1;25;379918
2013;1;26;381778
2013;1;27;379860
2013;1;28;375467
2013;1;29;371921
2013;1;30;397262
2013;1;31;400466
2013;1;32;408648
2013;1;33;386995
2013;1;34;381741
2013;1;35;387360
2013;1;36;378793
2013;1;37;390722
2013;1;38;416345
2013;1;39;438313
2013;1;40;451767
2013;1;41;448620
2013;1;42;440029
2013;1;43;431891
2013;1;44;428012
2013;1;45;424642
2013;1;46;434720
2013;1;47;436582
2013;1;48;440095
2013;1;49;435799
2013;1;50;420523
2013;1;51;419031
2013;1;52;417842
2013;1;53;413694
2013;1;54;404524
2013;1;55;402753
2013;1;56;398530
2013;1;57;392698
2013;1;58;394486
2013;1;59;384285
2013;1;60;390699
2013;1;61;380917
2013;1;62;396240
2013;1;63;386044
2013;1;64;385788
2013;1;65;376302
2013;1;66;355224
2013;1;67;266711
2013;1;68;257649
2013;1;69;248841
2013;1;70;230309
2013;1;71;202711
2013;1;72;208300
2013;1;73;214321
2013;1;74;207800
2013;1;75;199919
2013;1;76;195797
2013;1;77;185636
2013;1;78;182304
2013;1;79;168493
2013;1;80;167056
2013;1;81;154684
2013;1;82;144470
2013;1;83;126564
2013;1;84;114583
2013;1;85;101025
2013;1;86;89352
2013;1;87;77859
2013;1;88;65169
2013;1;89;54843
2013;1;90;45698
2013;1;91;37965
2013;1;92;30099
2013;1;93;14018
2013;1;94;8968
2013;1;95;5584
2013;1;96;3723
2013;1;97;3190
2013;1;98;3177
2013;1;99;4898
2013;2;0;369874
2013;2;1;374837
2013;2;2;383047
2013;2;3;381543
2013;2;4;384863
2013;2;5;383665
2013;2;6;390203
2013;2;7;382880
2013;2;8;381325
2013;2;9;379800
2013;2;10;381874
2013;2;11;388489
2013;2;12;396539
2013;2;13;377647
2013;2;14;377232
2013;2;15;370248
2013;2;16;375073
2013;2;17;372492
2013;2;18;362559
2013;2;19;358908
2013;2;20;373719
2013;2;21;377692
2013;2;22;383292
2013;2;23;382377
2013;2;24;385317
2013;2;25;382948
2013;2;26;390216
2013;2;27;388002
2013;2;28;389346
2013;2;29;383496
2013;2;30;408795
2013;2;31;414518
2013;2;32;419683
2013;2;33;398159
2013;2;34;389982
2013;2;35;391698
2013;2;36;384076
2013;2;37;396622
2013;2;38;418046
2013;2;39;443161
2013;2;40;454777
2013;2;41;451818
2013;2;42;442975
2013;2;43;438298
2013;2;44;437793
2013;2;45;433933
2013;2;46;445380
2013;2;47;446330
2013;2;48;453999
2013;2;49;449742
2013;2;50;434943
2013;2;51;436459
2013;2;52;434460
2013;2;53;433565
2013;2;54;424511
2013;2;55;424993
2013;2;56;422663
2013;2;57;420085
2013;2;58;420171
2013;2;59;412234
2013;2;60;420370
2013;2;61;409227
2013;2;62;425167
2013;2;63;419005
2013;2;64;415705
2013;2;65;407425
2013;2;66;388318
2013;2;67;294563
2013;2;68;288641
2013;2;69;280252
2013;2;70;260481
2013;2;71;234373
2013;2;72;246084
2013;2;73;258536
2013;2;74;256510
2013;2;75;252962
2013;2;76;254062
2013;2;77;250928
2013;2;78;253801
2013;2;79;243644
2013;2;80;248632
2013;2;81;237351
2013;2;82;232624
2013;2;83;211556
2013;2;84;200108
2013;2;85;186394
2013;2;86;174144
2013;2;87;160786
